Date,Activity,Symbol,Description,Quantity,Unit Price,Value,Held In,Account Nickname,Account Number
01/01/2019,buy,072024F56,"BAY TOLL AUTH CA TOLLBRDG REV 2025F 1 B/ECPN  5.000% DUE 04/01/41DTD 03/13/25 FC 10/01/25CALL 04/01/35 @ 100.000",10000,$0.00,-$11369.76,cash,Bond Portfolio,56005516
01/01/2019,buy,13032UNQ7,"CALIFORNIA HLTH FACSFING AUTH REV RFDGSUTTER HLTH A B/E PTCCPN  5.000% DUE 11/15/32DTD 07/06/17 FC 11/15/17CALL 11/15/27 @ 100.000",15000,$0.00,-$15447.36,cash,Bond Portfolio,56005516
01/01/2019,buy,13032UTL2,"CALIFORNIA HLTH FAC FINGAUTH REV CHLDRNS HOSPORANGE CNTY SER A B/ECPN  5.000% DUE 11/01/30DTD 08/06/19 FC 11/01/19CALL 11/01/29 @ 100.000",15000,$0.00,-$16273.10,cash,Bond Portfolio,56005516
01/01/2019,buy,13068XCW7,"CALIFORNIA ST PUB WKSBRD LSE REV DEPT GENLSVCS NEW NAT RES C B/ECPN  5.000% DUE 11/01/33DTD 11/17/21 FC 05/01/22CALL 11/01/31 @ 100.000",10000,$0.00,-$11398.90,cash,Bond Portfolio,56005516
01/01/2019,buy,13068XPT0,"CALIFORNIA STPUB WKS LSE REV VARIOUSCAP PJS SER A B/ECPN  5.000% DUE 04/01/44DTD 04/17/25 FC 10/01/25CALL 04/01/35 @ 100.000",15000,$0.00,-$15816.83,cash,Bond Portfolio,56005516
01/01/2019,buy,544445H36,"LOS ANGELES CADEPT ARPTS INTL SR SER IGREEN BD REV B/ECPN  5.000% DUE 05/15/35DTD 08/24/22 FC 11/15/22CALL 11/15/31 @ 100.000",10000,$0.00,-$11118.61,cash,Bond Portfolio,56005516
01/01/2019,buy,544445MQ9,"LOS ANGELES CA DEPT ARPTREV SUB LOS ANGELESINTL ARPT SER E B/ECPN  5.000% DUE 05/15/33DTD 06/27/19 FC 11/15/19CALL 11/15/28 @ 100.000",10000,$0.00,-$10697.44,cash,Bond Portfolio,56005516
01/01/2019,buy,5444957J7,"LOS ANGELES CADEPT WTR & PWR REV SYSSER B B/ECPN  5.000% DUE 07/01/32DTD 05/09/19 FC 07/01/19CALL 01/01/29 @ 100.000",20000,$0.00,-$21859.25,cash,Bond Portfolio,56005516
01/01/2019,buy,544525ZV3,"LOS ANGELES CA DPT WTR &PWR WTRWKS REV SYSSER C B/ECPN  5.000% DUE 07/01/35DTD 01/05/21 FC 07/01/21CALL 07/01/30 @ 100.000",15000,$0.00,-$16259.81,cash,Bond Portfolio,56005516
01/01/2019,buy,54466HJY3,"LOS ANGELES CNTY CA METTRANSN AUTH SALES TAX JRSUB RFDG SER A REV B/ECPN  5.000% DUE 06/01/33DTD 08/27/20 FC 12/01/20CALL 06/01/27 @ 100.000",15000,$0.00,-$15584.35,cash,Bond Portfolio,56005516
01/01/2019,buy,59266TRE3,"METROPOLITAN WTR DISTSTHN CA WTRWRKS REVSER A B/ECPN  5.000% DUE 10/01/32DTD 02/11/20 FC 10/01/20CALL 10/01/29 @ 100.000",15000,$0.00,-$16207.77,cash,Bond Portfolio,56005516
01/01/2019,buy,66484EAE5,"NORTHERN CASANTN AGYS FING AUTH REVRFDG SER A B/ECPN  5.000% DUE 12/01/28DTD 06/25/24 FC 12/01/24",10000,$0.00,-$10563.83,cash,Bond Portfolio,56005516
01/01/2019,buy,728835N88,"PLEASANTON CAUNI SCH DIST ELECT 20222025 B/E PTCCPN  5.000% DUE 08/01/45DTD 06/03/25 FC 02/01/26CALL 08/01/35 @ 100.000",10000,$0.00,-$10496.41,cash,Bond Portfolio,56005516
01/01/2019,buy,797356LW0,"SAN DIEGO CA UNI SCHDIST ELECT 2012 RFDG2025 ZR 5C B/ECPN  5.000% DUE 07/01/38DTD 04/02/25 FC 07/01/25CALL 07/01/34 @ 100.000",10000,$0.00,-$11078.74,cash,Bond Portfolio,56005516
01/01/2019,buy,870462SA7,"SWEETWATER CAUN HIGH SCH DIST RFDGAGM B/E PTCCPN  5.000% DUE 08/01/32DTD 03/24/16 FC 08/01/16CALL 02/05/26 @ 100.000",10000,$0.00,-$10016.39,cash,Bond Portfolio,56005516
01/01/2019,buy,91412HNC3,"UNIVERSITY CAREV GENL RGT SER BK B/ECPN  5.000% DUE 05/15/32DTD 09/14/22 FC 05/15/23",15000,$0.00,-$17538.43,cash,Bond Portfolio,56005516
