Exported on: 01/07/2026 08:44 PM ET

Selected account(s):Other (CMA 5VT-10282)

"Trade Date" ,"Settlement Date" ,"Account" ,"Description" ,"Type" ,"Symbol/ CUSIP" ,"Quantity" ,"Price" ,"Amount" ," " 
,
"" ,"" ,"" ,"" ,"" ,"" ,"" ,"" ,"" ,"" 
"12/31/2024" ,"12/31/2024" ,"CMA 5VT-10282" ,"Bank Interest ML BANK DEPOSIT PROGRAM FROM 11/29 THRU 12/31" ,"" ,"990286916" ,"" ,"" ,"$0.36" ,"" 
"12/23/2024" ,"12/23/2024" ,"CMA 5VT-10282" ,"Deposit ML BANK DEPOSIT PROGRAM" ,"" ,"990286916" ,"599" ,"" ,"-$599.00" ,"" 
"12/20/2024" ,"12/20/2024" ,"CMA 5VT-10282" ,"Dividend BLACKSTONE REAL ESTATE INCOME TRUST INC CLASS S BROKERAGE CLASS PAY DATE 12/03/2024" ,"" ,"71F319991" ,"" ,"" ,"$599.52" ,"" 
"12/02/2024" ,"12/02/2024" ,"CMA 5VT-10282" ,"Deposit ML BANK DEPOSIT PROGRAM" ,"" ,"990286916" ,"1" ,"" ,"-$1.00" ,"" 
"11/29/2024" ,"11/29/2024" ,"CMA 5VT-10282" ,"Bank Interest ML BANK DEPOSIT PROGRAM FROM 10/31 THRU 11/28" ,"" ,"990286916" ,"" ,"" ,"$0.30" ,"" 
"11/21/2024" ,"11/21/2024" ,"CMA 5VT-10282" ,"Deposit ML BANK DEPOSIT PROGRAM" ,"" ,"990286916" ,"599" ,"" ,"-$599.00" ,"" 
"11/20/2024" ,"11/20/2024" ,"CMA 5VT-10282" ,"Dividend BLACKSTONE REAL ESTATE INCOME TRUST INC CLASS S BROKERAGE CLASS PAY DATE 11/02/2024" ,"" ,"71F319991" ,"" ,"" ,"$599.52" ,"" 
"11/01/2024" ,"11/01/2024" ,"CMA 5VT-10282" ,"Deposit ML BANK DEPOSIT PROGRAM" ,"" ,"990286916" ,"1" ,"" ,"-$1.00" ,"" 
"10/31/2024" ,"10/31/2024" ,"CMA 5VT-10282" ,"Bank Interest ML BANK DEPOSIT PROGRAM FROM 09/30 THRU 10/30" ,"" ,"990286916" ,"" ,"" ,"$0.30" ,"" 
"10/21/2024" ,"10/21/2024" ,"CMA 5VT-10282" ,"Deposit ML BANK DEPOSIT PROGRAM" ,"" ,"990286916" ,"599" ,"" ,"-$599.00" ,"" 
"10/18/2024" ,"10/18/2024" ,"CMA 5VT-10282" ,"Dividend BLACKSTONE REAL ESTATE INCOME TRUST INC CLASS S BROKERAGE CLASS PAY DATE 10/02/2024" ,"" ,"71F319991" ,"" ,"" ,"$599.52" ,"" 
"09/30/2024" ,"09/30/2024" ,"CMA 5VT-10282" ,"Bank Interest ML BANK DEPOSIT PROGRAM FROM 08/30 THRU 09/29" ,"" ,"990286916" ,"" ,"" ,"$0.47" ,"" 
"09/30/2024" ,"09/30/2024" ,"CMA 5VT-10282" ,"Bank Interest ML BANK DEPOSIT PROGRAM" ,"" ,"990286916" ,"" ,"" ,"$1.00" ,"" 
